,0
0,16.462
1,16.649694503456594
2,16.113152147352157
3,16.092814967402592
4,16.39148048977025
5,16.619990701566692
6,16.790176798372208
7,16.622255068105954
8,16.37463942420659
9,16.913731876836312
10,17.32027847540054
11,19.215710507560424
12,19.484436895413143
13,22.780986338614955
14,25.858273606217995
15,27.367380733237233
16,28.355509514862952
17,28.35680807241645
18,27.95996993381159
19,27.386637143834
20,26.004078103998932
21,24.014803263500248
22,21.943189878003523
23,20.4600842844575
24,19.225265876086393
25,18.595887873318937
26,18.44571669136719
27,18.457259842545234
28,18.11323882374508
29,17.613808718517465
30,16.806871294981352
31,15.997532324868816
32,15.327266648853715
33,15.02204674076364
34,15.11484125124939
35,15.082022623823594
36,15.95030642856206
37,16.924813101858714
38,17.905020928344346
39,18.359178318885103
40,19.148957192258415
41,18.839314087178717
42,18.53701650888722
43,18.14764834470711
44,18.295031138816306
45,19.09945373930711
46,19.59866039039543
47,19.10120170382844
48,18.585412210266245
49,18.284241280673324
50,17.352670008262535
51,16.095030853646016
52,14.972285615808337
53,14.516600037839854
54,14.42608787838057
55,14.732655515580342
56,15.165201350084445
57,15.677491671006662
58,16.181525796294245
59,16.469785888226003
60,16.532409220085793
61,16.417117924192734
62,16.2282668337855
63,16.091466666797412
64,15.289825654402067
65,16.14279194797612
66,17.44448616180985
67,19.680111217401702
68,21.31652390316849
69,22.170215359246548
70,22.00199100951242
71,20.733794827329696
72,19.252468770760814
73,18.49398834298738
74,17.70101371098581
75,17.055233461650737
76,17.156411745816254
77,17.95350983124116
78,18.378392671002324
79,18.785514611407987
80,18.947123986676722
81,18.516906721812177
82,17.597378882192434
83,16.556255728840483
84,15.859955986034992
85,15.131985325113531
86,14.781094650461938
87,14.620899082733295
88,14.667677779857677
89,15.024237525412826
90,15.412002216261504
91,15.764468453403731
92,15.941329830324204
93,16.034776365240305
94,15.950272250477989
95,15.878166316182279
96,15.778031865619567
97,15.614135261414031
98,15.524133063721472
99,15.558754898246953
100,15.30303921888389
101,14.895800919855104
102,14.842702104976407
103,14.60784169372026
104,14.555199149210384
105,14.6169572865765
106,14.651955839193446
107,14.895783813787443
108,15.042419748720572
109,15.126354448258287
110,15.238670758550569
111,15.309986573391479
112,15.486499587931682
113,15.37903573759696
114,15.053035579503778
115,14.966283990640893
116,14.959551896776166
117,14.952298850837295
118,14.72626875532436
119,14.637430276266594
120,14.56217620126798
121,14.50186423517305
122,14.39383510655083
123,14.279883330518455
124,14.200138207907008
125,14.171967094292807
126,14.261319135923056
127,14.290759571552778
128,14.356823884049291
129,14.507621962806995
130,14.739754007566608
131,14.726748151006909
132,15.138685739301458
133,15.528766448023307
134,16.019000324729156
135,16.076946876143364
136,15.87575439931149
137,15.40680441645117
138,14.80556315772949
139,14.19281421912028
140,13.635659702892104
141,13.358849205690975
142,13.338384859570379
143,13.416054369346865
144,13.456682681525498
145,13.604933065419848
146,13.77020136952619
147,13.846390961002275
148,13.90397971096747
149,13.878171542811733
150,14.081557977879246
151,14.378714169471563
152,14.578367934860596
153,14.69484795119819
154,14.541397428550228
155,14.3432551186157
156,14.124198425117266
157,13.915683080058036
158,13.677552829455633
159,13.476532196932126
160,13.198880957038142
161,13.1225531231006
162,13.071551268347807
163,13.107772581215142
164,13.12762584637253
165,12.882677363654128
166,12.70470651923482
167,12.55304299001016
168,12.424879204340401
169,12.27036489402811
170,12.244790628243306
171,12.073960025342497
172,12.22224178931512
173,12.41419999120908
174,12.6062813983165
175,12.678541460426558
176,12.63728348135645
177,12.550514743251792
178,12.395295498618044
179,12.240368202502927
180,12.015534295187406
181,11.88201564313323
182,11.773221330504448
183,11.697428216064585
184,11.732281069278432
185,11.608822368704631
186,11.601897094417513
187,11.60009107470427
188,11.604815262904049
189,11.613640715729039
190,11.612131590686065
191,11.629291438272269
192,11.60126049955601
193,11.548362358960448
194,11.549771407476888
195,11.509709916441434
196,11.539643700387986
197,11.505486175780902
198,11.510434845553261
199,11.472398415115528
200,11.439470559429978
201,11.429169423044845
202,11.37083874745855
203,11.351110810162153
204,11.437799208903057
205,11.34313267509654
206,11.312043945743518
207,11.275800347975194
208,11.61688512341132
209,12.04213581927411
210,12.51487366370268
211,12.739607684070585
212,12.794037558350698
213,12.66059144670561
214,12.416416509209592
215,12.112447707255386
216,11.915590754825836
217,11.673855511285549
218,11.562305464571564
219,11.430233037803509
220,11.306854818872997
221,11.194166060962838
222,11.12463422563376
223,11.019718599181445
224,10.950823136113733
225,10.900890499472897
226,10.820064017330985
227,10.832751235601737
228,10.838053011142971
229,10.856435842022341
230,10.882594061643449
231,10.888507645947913
232,10.89710394165368
233,10.869012148664515
234,10.839224834151095
235,10.794004958260095
236,10.74640054168602
237,10.678052783672298
238,10.810459667451912
239,10.873956977206998
240,10.921384561374698
241,11.029482263556698
242,11.16431750521179
243,11.204482166611626
244,11.225634725010659
245,11.23286928584793
246,11.139593130997184
247,11.042223804889753
248,10.999284465648996
249,10.914916928573595
250,10.33437818904598
251,10.24995267543125
252,10.291234631235499
253,10.48871819500823
254,10.59759751517959
255,10.633701947919612
256,10.715045552427362
257,10.610455041983974
258,10.538245376147088
259,10.421321668144303
260,10.22530144191871
261,10.160004361983125
262,9.887883353661795
263,9.848814492953293
264,9.671283157063229
265,9.485821446107666
266,9.361044513172622
267,9.369327459111155
268,9.514018301959238
269,9.722786523348066
270,9.877617224298984
271,9.982697622121519
272,9.992861991451171
273,10.063594394389062
274,10.185930773066888
275,10.329346944903284
276,10.672051229986451
277,11.124381074998183
278,11.567162115174032
279,11.715363622590518
280,11.488998512767633
281,10.94526729339708
282,10.398732780813875
283,10.023416827260078
284,9.830561541135136
285,9.724905325629244
286,9.833709568710727
287,9.764187415213188
288,10.178225042253263
289,10.475489626159119
290,10.611834058538966
291,10.887694996270751
292,11.281473716427874
293,11.255861685584104
294,10.882413236754463
295,10.363820905398338
296,10.106638661262824
297,10.162820851677427
298,10.040523044083908
299,10.43396132392842
300,10.898608932588106
301,11.076800230332617
302,10.830335522780013
303,10.128136327419845
304,9.768583220367505
305,9.645129332581645
306,9.533288122701538
307,9.160302978506191
308,8.565165935972082
309,8.259554915180614
310,7.971153046579954
311,7.7375977949275345
312,7.602359957460406
313,7.718432401303101
314,7.983437457978852
315,8.32941013034125
316,8.764599134095715
317,9.175624829794353
318,9.575237496649816
319,9.843617566980566
320,10.150605116268341
321,10.676191912893735
322,11.100671940082535
323,11.53470140351333
324,11.802787608883278
325,11.860508314853654
326,11.393900455875892
327,10.322059043923078
328,9.693756706447479
329,9.200618046787005
330,8.981604278579468
331,8.967310521964508
332,9.004690610031325
333,9.351498850030186
334,9.78104047941618
335,10.438207706291271
336,10.87147738328924
337,11.03631565586718
338,11.076528013593254
339,10.95598154634887
340,10.643597041309077
341,10.295240819390472
342,9.896602185188351
343,9.574320656998053
344,9.30008787651009
345,9.179367728861111
346,9.252119402828708
347,9.35291382318687
348,10.081014171835422
349,11.353044252520261
350,11.929515745775984
351,13.040192526039817
352,14.238353811399971
353,14.203589647223776
354,12.971273185690631
355,11.342400666971946
356,10.33190132276142
357,9.768786496779931
358,8.97746688280303
359,8.704720530257704
360,8.625714910558868
361,9.099553899495545
362,9.963977538502089
363,11.176991882357536
364,12.434549729793552
365,12.796349199632484
366,13.357604891104655
367,13.53656602957071
368,12.970060303130376
369,12.073273439817996
370,11.26702340607963
371,11.127831113350073
372,11.706629790984577
373,12.176146009883508
374,11.821516547886329
375,11.272985987528477
376,10.651282869751668
377,9.848713187509379
378,9.837111771801538
379,10.019771958500089
380,9.770891139491141
381,9.677353860593348
382,9.429598427583592
383,9.463735367146903
384,9.467161102422242
385,9.024434357358583
386,8.359923618513227
387,7.58492342477452
