Dia,PrevD1,PrevD2,PrevD3,PrevD4,PrevD5,PrevD6,PrevD7
2023-01-21,1.916,1.720,17.091,14.033,1.302,2.471,15.670
2023-01-22,1.258,5.730,26.095,2.398,2.253,2.891,8.055
2023-01-23,6.273,11.014,0.575,0.017,0.002,0.018,0.678
2023-01-24,5.067,0.013,0.000,0.001,1.061,2.317,0.386
2023-01-25,0.072,0.000,0.000,0.105,7.801,8.768,8.864
2023-01-26,0.002,0.000,2.469,8.614,6.755,18.262,7.515
2023-01-27,0.072,6.570,16.051,5.085,4.010,0.934,8.265
2023-01-28,16.533,2.618,5.505,14.569,4.375,5.680,5.342
2023-01-29,6.903,7.933,9.646,6.657,26.933,25.508,27.475
2023-01-30,8.468,13.276,5.564,10.687,16.035,14.187,41.438
2023-01-31,8.403,12.922,19.271,12.271,8.488,16.400,14.484
2023-02-01,3.205,21.551,16.768,19.118,12.945,14.318,5.834
2023-02-02,16.522,8.439,13.120,22.439,16.064,18.912,1.793
2023-02-03,5.126,12.434,20.839,5.556,21.625,14.497,5.903
2023-02-04,4.421,3.001,7.645,1.625,1.355,2.042,6.501
2023-02-05,11.158,17.558,16.879,2.836,10.392,24.224,11.000
2023-02-06,14.679,7.998,2.047,1.344,2.016,11.049,17.595
2023-02-07,12.480,5.128,1.303,2.846,12.213,12.361,3.984
2023-02-08,3.830,0.779,2.070,8.062,6.251,4.122,13.938
2023-02-09,0.682,1.733,20.832,17.260,13.335,14.109,7.756
2023-02-10,7.181,19.536,38.632,17.639,10.996,8.335,13.370
2023-02-11,18.032,16.238,7.451,20.547,14.795,8.734,34.720
2023-02-12,5.250,18.544,6.307,11.871,7.399,10.148,8.368
2023-02-13,3.218,10.249,19.796,9.102,12.862,5.517,2.412
2023-02-14,2.274,4.649,8.487,8.677,2.616,9.890,7.268
2023-02-15,9.130,10.144,7.190,10.862,1.331,2.639,14.285
2023-02-16,7.567,9.572,25.387,15.859,0.906,7.349,4.375
2023-02-17,3.894,9.280,5.285,0.964,2.428,2.142,5.199
2023-02-18,6.811,18.109,0.877,4.376,4.821,13.010,3.831
2023-02-19,15.770,2.315,3.302,15.481,8.646,0.878,1.999
2023-02-20,0.883,9.612,12.241,8.172,15.346,9.904,8.588
2023-02-21,9.029,12.522,10.820,13.895,2.419,4.483,5.951
2023-02-22,2.579,14.099,22.897,9.133,2.174,5.298,17.205
2023-02-23,4.671,15.042,9.503,4.882,3.524,14.002,9.994
2023-02-24,7.016,4.050,4.507,5.832,3.903,13.725,16.728
2023-02-25,1.071,15.557,5.528,8.721,13.180,17.821,9.303
2023-02-26,6.092,24.122,2.306,0.196,5.689,7.923,3.909
2023-02-27,7.478,10.525,1.598,10.366,7.880,0.531,5.871
2023-02-28,11.007,18.843,7.817,9.741,2.551,6.532,5.187
2023-03-01,9.946,6.046,9.361,1.113,3.037,4.520,12.921
2023-03-02,1.257,4.035,6.406,1.271,0.341,2.417,4.781
2023-03-03,1.537,7.801,6.059,9.448,5.618,15.807,12.143
2023-03-04,5.307,5.699,13.591,7.947,11.179,9.403,3.984
2023-03-05,4.821,7.960,9.275,8.832,6.695,0.642,0.235
2023-03-06,15.287,5.520,9.159,4.622,4.229,18.472,12.364
2023-03-07,4.519,3.381,4.784,6.507,8.795,12.505,8.058
2023-03-08,6.799,4.380,11.007,12.623,3.339,0.196,0.506
2023-03-09,5.231,13.274,16.495,4.405,1.225,3.848,0.628
2023-03-10,8.255,17.057,11.362,7.651,4.067,0.342,0.268
2023-03-11,4.991,12.630,10.596,2.227,4.344,0.691,0.578
2023-03-12,5.449,7.239,0.601,0.440,0.675,0.385,1.854
2023-03-13,4.809,2.386,0.551,0.004,0.068,0.443,0.090
2023-03-14,4.068,0.932,0.160,0.037,0.167,0.425,0.004
2023-03-15,0.929,0.007,0.001,0.137,1.047,0.946,0.520
