Dia,PrevD1,PrevD2,PrevD3,PrevD4
2021-02-05,26.779,1.656,0.301,0.067
2021-02-06,0.000,0.000,0.000,0.000
2021-02-07,0.405,0.127,0.003,0.002
2021-02-08,1.520,0.083,1.603,0.000
2021-02-09,3.478,3.849,12.772,0.001
2021-02-10,4.767,8.240,6.232,1.696
2021-02-11,3.652,10.172,21.862,0.567
2021-02-12,10.980,21.756,3.692,0.403
2021-02-13,17.465,2.809,10.634,0.947
2021-02-14,2.420,11.790,6.224,0.076
2021-02-15,15.927,4.692,9.412,0.106
2021-02-16,1.327,3.835,7.257,0.039
2021-02-17,12.273,6.468,1.443,0.003
2021-02-18,3.840,0.194,0.410,0.004
2021-02-19,0.128,0.641,0.403,0.007
2021-02-20,0.563,2.953,0.320,0.004
2021-02-21,3.465,0.429,0.027,0.000
2021-02-22,0.643,0.619,9.210,0.175
2021-02-23,0.143,5.024,13.704,0.052
2021-02-24,6.595,20.857,10.031,0.983
2021-02-25,13.483,18.327,16.402,2.643
2021-02-26,14.089,21.468,9.387,1.377
2021-02-27,6.682,3.898,0.191,0.285
2021-02-28,12.518,1.512,1.248,0.002
2021-03-01,2.198,0.374,0.011,0.000
2021-03-02,3.186,0.416,3.276,7.121
2021-03-03,4.046,4.617,4.893,5.526
2021-03-04,13.558,18.864,22.660,6.683
2021-03-05,15.172,40.456,19.053,0.027
2021-03-06,19.243,51.627,5.410,0.034
2021-03-07,11.829,8.047,1.808,0.068
2021-03-08,2.104,3.372,6.371,0.890
2021-03-09,2.548,2.567,1.135,0.134
2021-03-10,0.975,9.425,0.830,0.002
2021-03-11,2.516,1.324,1.722,0.004
2021-03-12,0.735,0.801,11.052,0.113
2021-03-13,1.172,8.972,4.837,0.145
2021-03-14,7.855,6.772,8.842,0.005
2021-03-15,1.078,6.361,6.156,0.004
2021-03-16,4.904,6.360,4.609,0.191
2021-03-17,8.581,6.499,1.245,0.008
2021-03-18,8.796,9.140,0.700,0.000
2021-03-19,0.913,1.176,0.017,0.000
2021-03-20,1.156,0.055,0.131,0.011
2021-03-21,0.115,0.170,0.347,0.008
2021-03-22,0.538,0.195,2.566,0.580
2021-03-23,0.122,0.371,0.321,0.004
2021-03-24,0.075,0.773,2.697,0.075
2021-03-25,0.095,0.395,0.269,0.004
2021-03-26,0.299,0.137,1.989,0.003
2021-03-27,0.261,1.354,4.428,1.298
2021-03-28,1.037,2.205,11.281,0.175
2021-03-29,0.368,13.543,3.551,0.193
2021-03-30,7.297,2.459,0.062,0.017
2021-03-31,1.662,0.018,0.018,0.002
2021-04-01,0.022,0.026,0.606,0.059
2021-04-02,0.009,0.094,0.034,0.013
2021-04-03,0.030,0.022,0.006,0.000
2021-04-04,0.014,0.071,4.066,0.028
2021-04-05,0.307,1.502,20.580,0.014
2021-04-06,14.100,1.189,0.140,0.000
2021-04-07,0.434,0.001,0.000,0.000
2021-04-08,0.048,0.000,0.035,0.000
2021-04-09,0.000,0.003,0.000,0.000
2021-04-10,0.000,0.000,0.000,0.055
2021-04-11,0.000,0.008,0.434,0.001
2021-04-12,0.023,0.494,0.017,0.044
2021-04-13,1.426,0.005,0.060,0.000
2021-04-14,0.024,0.001,0.100,0.000
2021-04-15,0.197,0.406,0.616,0.102
2021-04-16,0.665,2.287,5.605,0.021
2021-04-17,3.418,1.911,0.154,0.069
2021-04-18,7.232,0.674,1.173,0.027
2021-04-19,0.804,0.573,0.596,0.009
2021-04-20,0.590,1.063,0.480,0.019
2021-04-21,1.137,0.335,0.021,0.051
2021-04-22,1.039,0.012,0.041,0.075
2021-04-23,0.016,0.019,0.018,0.010
2021-04-24,0.155,0.051,0.438,0.059
2021-04-25,0.026,0.349,0.744,0.021
2021-04-26,0.004,0.995,0.028,0.015
2021-04-27,1.369,0.032,0.125,0.001
2021-04-28,0.018,0.195,0.007,0.006
2021-04-29,0.093,0.005,0.002,0.000
2021-04-30,0.011,0.000,0.000,0.060
2021-05-01,0.006,0.005,0.081,0.025
2021-05-02,0.010,0.078,0.011,0.000
2021-05-03,0.019,0.042,0.051,0.000
2021-05-04,0.002,0.006,0.022,0.062
2021-05-05,0.000,0.003,0.268,0.036
2021-05-06,0.000,0.209,0.190,0.056
2021-05-07,0.100,0.183,0.001,0.002
2021-05-08,0.120,0.201,0.003,0.034
2021-05-09,0.175,0.042,0.016,0.001
2021-05-10,0.132,0.070,0.055,4.499
2021-05-11,0.012,0.125,4.030,1.012
2021-05-12,0.016,5.247,0.025,0.001
2021-05-13,11.130,0.021,3.471,0.038
2021-05-14,0.110,4.993,0.737,0.060
2021-05-15,1.653,1.045,0.059,0.002
2021-05-16,0.208,0.117,0.240,0.098
2021-05-17,0.161,0.064,0.057,0.000
2021-05-18,0.309,0.078,0.000,0.000
2021-05-19,0.045,0.031,0.066,0.000
2021-05-20,0.000,0.036,0.003,3.084
2021-05-21,0.000,0.364,2.191,0.154
2021-05-22,0.115,3.641,0.726,0.000
2021-05-23,5.684,0.035,0.000,0.908
2021-05-24,0.040,0.000,0.042,0.205
2021-05-25,0.000,0.000,0.051,0.000
2021-05-26,0.000,2.788,0.000,2.056
2021-05-27,0.303,0.151,3.150,0.509
2021-05-28,0.044,0.509,4.634,31.106
2021-05-29,0.131,0.863,7.393,0.666
2021-05-30,0.294,0.912,4.731,0.053
2021-05-31,1.039,0.163,0.155,0.000
2021-06-01,0.135,0.102,0.211,0.007
2021-06-02,0.021,0.000,0.037,0.000
2021-06-03,0.000,0.008,0.000,0.000
2021-06-04,0.028,0.000,0.000,0.000
2021-06-05,0.000,0.126,0.523,0.043
2021-06-06,0.166,0.276,1.859,11.086
2021-06-07,0.799,1.422,4.339,0.073
2021-06-08,1.349,2.706,2.020,14.322
2021-06-09,0.135,4.454,12.381,0.286
2021-06-10,1.824,11.778,0.024,0.000
2021-06-11,0.997,0.059,0.010,0.004
2021-06-12,0.111,0.058,0.007,0.115
2021-06-13,0.107,0.016,0.117,0.055
2021-06-14,0.001,0.096,0.136,0.053
2021-06-15,0.047,0.157,0.098,0.040
2021-06-16,0.069,0.018,0.033,0.424
2021-06-17,0.050,0.073,3.114,0.507
2021-06-18,0.072,0.791,0.858,0.011
2021-06-19,0.182,1.447,0.005,0.900
2021-06-20,0.253,0.035,5.587,0.075
2021-06-21,0.055,1.474,0.009,0.014
2021-06-22,2.201,0.077,0.005,0.000
2021-06-23,0.040,0.000,0.036,0.009
2021-06-24,0.017,0.000,0.001,0.000
2021-06-25,0.001,0.000,0.000,0.000
2021-06-26,0.002,0.000,0.000,0.051
2021-06-27,0.000,0.000,0.025,0.165
2021-06-28,0.000,0.011,0.063,0.003
2021-06-29,0.211,0.084,0.007,0.060
2021-06-30,0.000,0.004,0.021,0.021
2021-07-01,0.000,0.000,0.000,0.000
2021-07-02,0.000,0.000,0.000,0.000
2021-07-03,0.000,0.000,0.000,0.000
2021-07-04,0.024,0.014,0.012,0.018
2021-07-05,0.013,0.056,0.007,0.006
2021-07-06,0.111,0.005,0.030,0.018
2021-07-07,0.017,0.050,0.043,0.002
2021-07-08,0.047,0.023,0.000,0.000
2021-07-09,0.025,0.001,0.000,0.010
2021-07-10,0.001,0.000,0.000,0.001
2021-07-11,0.000,0.000,0.000,0.000
2021-07-12,0.000,0.000,0.000,0.000
2021-07-13,0.000,0.000,0.000,0.000
2021-07-14,0.000,0.000,0.017,0.017
2021-07-15,0.000,0.011,0.002,0.014
2021-07-16,0.001,0.017,0.006,0.008
2021-07-17,0.076,0.118,0.001,0.000
2021-07-18,0.079,0.081,0.000,0.008
2021-07-19,0.000,0.000,0.005,0.000
2021-07-20,0.000,0.000,0.002,0.005
2021-07-21,0.000,0.000,0.002,0.000
2021-07-22,0.000,0.001,0.000,0.000
2021-07-23,0.000,0.000,0.000,0.000
2021-07-24,0.000,0.000,0.000,0.000
2021-07-25,0.000,0.000,0.000,0.057
2021-07-26,0.000,0.000,9.531,0.995
2021-07-27,0.000,5.828,0.007,0.000
2021-07-28,3.067,0.000,0.000,0.006
2021-07-29,0.000,0.000,0.003,0.026
2021-07-30,0.000,0.014,0.000,0.000
2021-07-31,0.000,0.000,0.000,0.000
2021-08-01,0.012,0.036,0.149,0.098
2021-08-02,0.022,0.225,0.035,0.026
2021-08-03,0.076,0.022,0.000,0.000
2021-08-04,0.024,0.013,0.000,0.000
2021-08-05,0.009,0.092,0.000,0.000
2021-08-06,0.038,0.004,0.001,0.000
2021-08-07,0.019,0.001,0.000,0.000
2021-08-08,0.123,0.000,0.001,0.000
2021-08-09,0.000,0.000,0.006,0.088
2021-08-10,0.000,0.007,0.273,0.014
