Dia,PrevD1,PrevD2,PrevD3,PrevD4,PrevD5,PrevD6,PrevD7
2023-01-21,2.546,0.902,23.064,15.945,2.042,3.703,21.839
2023-01-22,0.843,7.276,19.800,4.247,3.119,3.384,9.297
2023-01-23,9.338,29.814,1.271,0.074,0.000,0.006,0.196
2023-01-24,11.373,0.016,0.000,0.021,1.745,3.081,0.014
2023-01-25,0.162,0.000,0.000,0.127,7.269,8.781,8.276
2023-01-26,0.002,0.000,2.922,15.319,6.404,7.399,1.424
2023-01-27,0.324,7.018,11.119,8.425,2.579,1.469,4.353
2023-01-28,17.444,4.642,8.346,10.385,4.655,4.523,10.719
2023-01-29,2.096,12.944,7.095,6.237,15.820,17.040,21.470
2023-01-30,8.491,11.924,6.395,11.436,19.849,7.827,33.857
2023-01-31,6.768,8.848,18.177,12.256,5.913,5.883,12.494
2023-02-01,4.195,16.722,11.849,19.789,7.387,12.642,8.951
2023-02-02,16.445,8.260,8.105,23.854,19.784,7.508,2.997
2023-02-03,4.252,6.864,11.630,5.250,22.779,14.239,6.022
2023-02-04,3.412,2.638,14.922,1.489,2.123,2.678,9.060
2023-02-05,8.725,16.067,13.403,5.010,13.308,21.115,11.189
2023-02-06,21.499,11.987,2.147,2.096,3.207,15.140,22.596
2023-02-07,11.845,6.289,2.130,4.136,10.341,16.656,4.564
2023-02-08,9.339,1.063,2.272,9.076,8.323,7.781,12.277
2023-02-09,1.399,4.172,18.911,10.012,13.963,11.520,4.166
2023-02-10,5.786,22.233,51.715,15.267,7.582,8.356,11.151
2023-02-11,32.362,18.609,12.275,14.184,15.371,6.514,17.882
2023-02-12,7.804,11.916,8.289,10.473,6.078,6.599,6.700
2023-02-13,4.579,9.708,12.146,7.165,8.524,5.882,4.805
2023-02-14,3.241,3.083,6.448,7.958,1.932,16.118,9.605
2023-02-15,8.335,8.810,3.820,18.462,7.034,1.347,20.835
2023-02-16,6.102,6.124,32.283,16.483,2.722,6.095,5.969
2023-02-17,2.674,5.403,5.003,2.837,1.353,4.175,9.015
2023-02-18,12.502,33.508,1.780,6.843,9.743,16.049,4.532
2023-02-19,22.049,1.883,2.477,20.453,10.847,1.463,1.460
2023-02-20,0.891,6.488,24.320,18.202,10.777,14.975,6.279
2023-02-21,9.091,10.114,9.275,10.967,2.580,4.119,7.584
2023-02-22,5.816,7.858,24.893,6.873,1.944,5.957,15.144
2023-02-23,13.014,18.253,5.308,6.021,2.642,16.054,14.468
2023-02-24,6.947,4.194,6.321,6.265,9.561,14.733,29.278
2023-02-25,0.803,11.421,7.564,8.416,10.450,12.382,7.594
2023-02-26,3.132,20.620,1.720,0.074,4.102,15.576,4.225
2023-02-27,5.389,6.164,3.458,6.094,10.769,0.430,3.085
2023-02-28,7.787,16.187,9.336,8.449,5.274,4.997,2.224
2023-03-01,11.121,9.373,7.208,2.694,2.020,2.227,10.745
2023-03-02,1.418,5.482,7.989,0.417,0.132,2.935,0.929
2023-03-03,3.857,10.239,5.745,7.793,6.876,13.381,10.008
2023-03-04,7.110,4.105,21.526,8.146,7.360,7.725,3.859
2023-03-05,5.365,11.908,4.919,7.890,4.678,1.280,0.282
2023-03-06,12.743,5.661,6.313,4.380,5.158,13.360,8.286
2023-03-07,2.664,4.226,4.550,8.813,7.027,13.557,7.631
2023-03-08,6.434,3.756,15.662,13.717,3.920,0.222,0.318
2023-03-09,9.259,22.186,11.140,5.530,1.977,2.513,1.181
2023-03-10,20.067,22.382,11.976,7.729,4.271,0.003,0.159
2023-03-11,7.100,24.885,13.036,2.933,1.529,0.356,0.518
2023-03-12,13.009,5.782,0.902,0.392,0.419,0.380,2.631
2023-03-13,7.970,5.336,0.545,0.008,0.110,0.256,0.030
2023-03-14,4.974,0.926,0.587,0.017,0.021,0.168,0.002
2023-03-15,0.745,0.013,0.000,0.619,1.555,2.040,0.717
2023-03-16,1.168,0.004,0.428,1.487,2.711,0.148,0.008
2023-03-17,0.095,0.842,1.453,2.975,3.756,2.291,15.181
2023-03-18,0.298,2.796,6.008,4.675,10.310,9.141,10.504
2023-03-19,0.280,7.915,5.257,0.348,8.481,11.315,11.604
2023-03-20,9.838,0.032,0.022,6.439,18.939,4.803,4.641
2023-03-21,0.020,0.011,0.019,11.489,7.169,1.919,1.987
2023-03-22,0.064,0.030,0.039,0.661,4.506,12.861,3.548
2023-03-23,0.054,0.175,4.474,0.188,5.463,2.395,10.017
2023-03-24,0.227,0.193,0.217,3.059,20.349,14.222,18.508
2023-03-25,1.038,1.826,2.847,0.529,5.235,15.249,4.145
2023-03-26,2.416,2.809,0.290,2.487,12.809,13.241,5.935
2023-03-27,4.871,0.672,3.254,9.035,8.621,29.626,1.459
2023-03-28,1.791,18.715,19.627,14.099,8.235,4.048,1.045
2023-03-29,11.013,16.653,6.217,8.910,1.785,0.066,0.010
2023-03-30,12.159,6.138,4.848,3.502,0.093,0.006,0.022
2023-03-31,3.342,1.992,2.131,0.048,0.012,0.006,0.569
2023-04-01,0.129,0.669,0.033,0.008,1.257,3.453,9.159
2023-04-02,1.345,0.105,0.030,0.063,0.090,1.195,0.316
2023-04-03,0.951,0.057,0.075,0.077,0.390,9.855,2.672
2023-04-04,0.272,0.055,0.111,0.036,2.784,15.849,19.821
2023-04-05,0.100,0.661,17.767,14.571,12.785,1.205,3.174
2023-04-06,1.974,10.404,12.496,2.802,0.325,4.021,5.040
2023-04-07,17.669,6.006,3.154,0.288,0.247,0.824,1.212
