Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2018-10-29;0.000;0.000;12.300;10.000;8.800;3.900;0.000
2018-10-30;0.100;18.500;1.300;21.700;1.600;0.000;0.000
2018-10-31;0.400;0.300;17.200;1.200;0.200;0.200;1.800
2018-11-01;0.800;14.400;0.000;0.000;0.900;0.200;0.000
2018-11-02;13.200;0.200;0.100;1.000;0.700;0.100;1.000
2018-11-03;0.000;0.100;0.200;0.800;0.000;1.500;1.000
2018-11-04;0.100;1.600;1.300;0.100;0.000;1.100;0.300
2018-11-05;1.300;1.000;0.000;1.300;1.300;0.800;0.300
2018-11-06;3.300;4.000;2.600;1.200;0.700;0.800;0.100
2018-11-07;0.900;2.800;4.500;1.900;0.500;0.100;5.700
2018-11-08;0.300;2.400;0.700;0.100;0.200;0.600;21.100
2018-11-09;2.700;1.200;0.100;0.100;0.100;9.600;5.100
2018-11-10;2.600;0.600;0.300;0.000;5.300;4.600;1.900
2018-11-11;0.800;0.500;0.300;4.600;22.700;6.900;8.700
2018-11-12;0.600;1.000;14.100;8.300;3.200;9.200;7.300
2018-11-13;1.600;9.400;0.000;0.600;11.600;59.400;0.000
2018-11-14;7.100;0.300;0.500;11.200;30.900;0.400;4.300
2018-11-15;0.000;0.300;22.500;33.600;1.300;4.400;6.100
2018-11-16;0.500;4.700;55.700;4.100;12.000;2.400;0.800
2018-11-17;21.200;64.300;3.700;15.400;9.800;2.600;4.300
2018-11-18;19.600;0.000;1.900;3.800;5.200;3.400;14.200
2018-11-19;0.200;0.200;3.900;2.700;0.700;38.400;0.600
2018-11-20;1.400;4.700;4.400;4.900;69.900;1.600;0.300
2018-11-21;3.600;5.900;2.500;11.900;0.200;0.000;0.000
2018-11-22;6.000;19.800;3.200;0.200;0.200;0.800;3.400
2018-11-23;14.200;3.400;0.100;0.200;0.000;2.600;21.800
2018-11-24;3.000;0.200;0.500;2.300;8.800;18.000;5.500
2018-11-25;0.100;0.600;1.500;2.600;31.200;29.800;0.500
2018-11-26;2.200;1.600;3.400;7.900;41.900;3.200;0.700
2018-11-27;0.200;0.200;0.900;27.200;0.400;1.000;0.200
2018-11-28;0.300;9.600;20.200;0.900;0.400;0.000;0.000
2018-11-29;9.800;32.800;0.200;0.100;0.100;6.300;7.200
2018-11-30;4.400;1.100;0.100;0.600;1.900;0.600;6.100
2018-12-01;0.700;0.200;0.400;0.000;0.000;0.400;0.100
2018-12-02;0.200;0.100;0.000;0.000;0.100;0.200;0.000
2018-12-03;0.200;1.400;0.000;0.000;0.300;2.400;0.400
2018-12-04;4.600;0.200;0.200;0.200;0.300;0.000;0.100
2018-12-05;0.200;0.500;0.100;0.000;0.000;0.000;0.000
2018-12-06;2.200;0.300;0.000;0.000;0.000;0.000;0.600
2018-12-07;0.300;0.000;0.000;0.100;0.100;0.000;1.400
2018-12-08;0.000;0.000;0.000;2.100;4.700;1.200;0.200
