Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2019-09-04;0.04;0.0;0.0;0.0;0.0;0.0;0.08
2019-09-05;0.0;0.01;0.0;0.0;0.0;0.0;0.0
2019-09-06;0.06;0.0;0.0;0.0;0.0;0.0;0.0
2019-09-07;0.0;0.0;0.0;0.0;0.0;0.0;0.03
2019-09-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-09-09;0.0;0.0;0.0;0.0;0.04;0.0;0.0
2019-09-10;0.0;0.0;0.0;0.01;0.0;0.0;0.01
2019-09-11;0.0;0.0;0.01;0.0;0.0;0.0;0.0
2019-09-12;0.01;0.04;0.0;0.0;0.0;0.0;0.0
2019-09-13;0.0;0.0;0.0;0.0;0.0;0.0;0.14
2019-09-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-09-15;0.0;0.0;0.0;0.0;0.2;0.05;0.32
