Dia;Precipitacao;Vazao;Captacao;Evapotranspiracao
2021-08-19;0.000;8.853;0.461;1.916
2021-08-20;0.000;8.821;0.452;1.916
2021-08-21;0.000;8.777;0.452;1.916
2021-08-22;0.000;8.697;0.441;1.916
2021-08-23;0.000;8.637;0.446;1.916
2021-08-24;0.000;8.587;0.441;1.916
2021-08-25;0.000;8.538;0.445;1.916
2021-08-26;0.000;8.485;0.447;1.916
2021-08-27;0.000;8.455;0.462;1.916
2021-08-28;10.840;9.109;0.443;1.916
2021-08-29;0.000;9.394;0.401;1.916
2021-08-30;0.000;9.528;0.441;1.916
2021-08-31;0.000;9.578;0.435;1.916
2021-09-01;0.000;9.517;0.402;2.580
2021-09-02;0.000;9.312;0.447;2.580
2021-09-03;0.000;9.045;0.460;2.580
2021-09-04;0.000;8.880;0.413;2.580
2021-09-05;0.000;8.871;0.419;2.580
2021-09-06;0.000;8.698;0.461;2.580
2021-09-07;0.000;8.639;0.408;2.580
2021-09-08;0.000;8.562;0.402;2.580
2021-09-09;6.350;8.658;0.869;2.580
2021-09-10;5.060;9.225;0.816;2.580
2021-09-11;0.000;9.661;0.784;2.580
2021-09-12;0.000;9.698;0.724;2.580
2021-09-13;0.000;9.493;0.761;2.580
2021-09-14;0.000;9.289;0.801;2.580
2021-09-15;0.480;9.028;0.747;2.580
2021-09-16;0.170;8.736;0.825;2.580
2021-09-17;0.000;8.533;0.806;2.580
2021-09-18;0.000;8.308;0.810;2.580
2021-09-19;0.000;8.102;0.866;2.580
2021-09-20;0.000;7.898;0.775;2.580
2021-09-21;0.000;7.924;0.849;2.580
2021-09-22;0.000;7.872;0.739;2.580
2021-09-23;0.000;7.911;0.771;2.580
2021-09-24;0.000;7.869;0.853;2.580
2021-09-25;8.290;8.640;0.787;2.580
2021-09-26;1.410;9.223;0.785;2.580
2021-09-27;0.000;9.524;0.789;2.580
2021-09-28;0.000;9.418;0.806;2.580
2021-09-29;0.000;9.277;0.815;2.580
2021-09-30;0.000;9.118;0.815;2.580
2021-10-01;2.960;9.090;0.840;3.418
2021-10-02;0.000;9.268;0.763;3.418
2021-10-03;19.010;10.339;0.781;3.418
2021-10-04;0.960;11.540;0.717;3.418
2021-10-05;0.000;11.907;0.767;3.418
2021-10-06;0.080;11.478;0.799;3.418
2021-10-07;0.240;10.297;0.762;3.418
2021-10-08;0.000;8.589;0.787;3.418
2021-10-09;1.490;7.350;0.769;3.418
2021-10-10;5.570;7.398;0.715;3.418
2021-10-11;0.840;7.863;0.722;3.418
2021-10-12;5.320;8.396;0.735;3.418
2021-10-13;0.000;8.761;0.753;3.418
2021-10-14;0.630;9.186;0.775;3.418
2021-10-15;3.860;9.283;0.828;3.418
2021-10-16;9.690;10.540;0.816;3.418
2021-10-17;0.000;10.275;0.741;3.418
2021-10-18;16.180;10.837;0.659;3.418
2021-10-19;2.050;11.238;0.725;3.418
2021-10-20;0.000;11.048;0.761;3.418
2021-10-21;0.000;9.353;0.775;3.418
2021-10-22;0.000;7.786;0.794;3.418
2021-10-23;0.000;6.759;0.793;3.418
2021-10-24;19.570;8.733;0.737;3.418
2021-10-25;0.000;9.571;0.748;3.418
2021-10-26;8.200;9.750;0.746;3.418
2021-10-27;1.010;11.279;0.754;3.418
2021-10-28;4.480;11.325;0.746;3.418
2021-10-29;0.000;9.847;0.789;3.418
2021-10-30;2.780;7.912;0.801;3.418
2021-10-31;0.360;6.772;0.731;3.418
2021-11-01;15.430;7.872;0.721;3.717
2021-11-02;0.000;8.212;0.755;3.717
2021-11-03;0.000;7.664;0.789;3.717
2021-11-04;0.000;6.408;0.810;3.717
2021-11-05;0.000;5.838;0.778;3.717
2021-11-06;0.000;6.229;0.810;3.717
2021-11-07;0.000;6.416;0.757;3.717
2021-11-08;0.000;6.589;0.790;3.717
2021-11-09;0.000;7.127;0.802;3.717
2021-11-10;0.000;8.212;0.791;3.717
2021-11-11;3.440;8.982;0.802;3.717
2021-11-12;0.000;9.738;0.785;3.717
2021-11-13;0.000;10.290;0.805;3.717
2021-11-14;0.000;10.621;0.794;3.717
2021-11-15;0.000;10.760;0.809;3.717
2021-11-16;0.000;10.780;0.792;3.717
2021-11-17;0.000;10.637;0.855;3.717
2021-11-18;11.330;10.653;0.850;3.717
2021-11-19;23.970;12.300;0.805;3.717
2021-11-20;0.020;12.097;0.819;3.717
2021-11-21;0.010;11.481;0.752;3.717
2021-11-22;0.000;9.776;0.803;3.717
2021-11-23;0.000;7.672;0.733;3.717
2021-11-24;0.000;6.377;0.684;3.717
2021-11-25;0.000;6.636;0.885;3.717
2021-11-26;4.670;7.345;0.820;3.717
2021-11-27;0.000;7.935;0.868;3.717
2021-11-28;0.000;8.579;0.828;3.717
2021-11-29;0.000;9.129;0.763;3.717
2021-11-30;23.350;10.773;0.818;3.717
2021-12-01;0.000;12.112;0.707;4.236
