Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2021-04-02;0.00;0.00;0.00;0.00;1.78;0.00;0.00
2021-04-03;0.00;0.00;0.00;1.78;0.00;0.00;0.00
2021-04-04;0.00;0.00;1.78;0.00;0.00;0.00;0.00
2021-04-05;0.00;1.78;0.00;0.00;0.00;0.00;0.00
2021-04-06;1.78;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-07;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-12;0.00;0.00;0.00;0.00;0.00;0.00;5.13
2021-04-13;0.00;0.00;0.00;0.00;0.00;5.13;0.00
2021-04-14;0.00;0.00;0.00;0.00;5.13;0.00;0.00
2021-04-15;0.00;0.00;0.00;5.13;0.00;0.00;0.00
2021-04-16;0.00;0.00;5.13;0.00;0.00;0.00;0.00
2021-04-17;0.00;5.13;0.00;0.00;0.00;0.00;0.00
2021-04-18;5.13;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-19;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-21;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-23;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-24;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-26;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-27;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-29;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-06;0.00;0.00;0.00;0.00;0.00;0.00;9.54
2021-05-07;0.00;0.00;0.00;0.00;0.00;9.54;2.67
2021-05-08;0.00;0.00;0.00;0.00;9.54;2.67;0.00
2021-05-09;0.00;0.00;0.00;9.54;2.67;0.00;0.05
2021-05-10;0.00;0.00;9.54;2.67;0.00;0.05;0.00
2021-05-11;0.00;9.54;2.67;0.00;0.05;0.00;0.00
2021-05-12;9.54;2.67;0.00;0.05;0.00;0.00;0.00
2021-05-13;2.67;0.00;0.05;0.00;0.00;0.00;0.00
2021-05-14;0.00;0.05;0.00;0.00;0.00;0.00;0.00
2021-05-15;0.05;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-16;0.00;0.00;0.00;0.00;0.00;0.00;9.31
2021-05-17;0.00;0.00;0.00;0.00;0.00;9.31;0.00
2021-05-18;0.00;0.00;0.00;0.00;9.31;0.00;0.00
