Dia;PrevD1;PrevD2;PrevD3;PrevD4
2021-02-05;31.958;2.457;0.489;0.138
2021-02-06;0.000;0.000;0.000;0.000
2021-02-07;0.791;0.413;0.010;0.012
2021-02-08;2.220;0.342;2.118;0.008
2021-02-09;3.968;3.742;10.071;0.004
2021-02-10;5.425;9.057;3.804;0.595
2021-02-11;2.997;19.731;16.448;0.599
2021-02-12;9.884;7.429;2.420;0.226
2021-02-13;18.561;3.718;7.655;0.452
2021-02-14;3.141;10.314;6.904;0.025
2021-02-15;13.115;3.895;13.424;0.169
2021-02-16;2.539;1.769;11.931;0.007
2021-02-17;11.869;9.392;0.883;0.031
2021-02-18;5.111;0.296;0.630;0.024
2021-02-19;0.126;1.770;0.379;0.036
2021-02-20;1.750;3.293;0.620;0.021
2021-02-21;3.457;0.813;0.075;0.000
2021-02-22;0.844;0.811;8.222;0.176
2021-02-23;0.195;5.327;22.128;0.145
2021-02-24;5.524;14.924;14.697;0.058
2021-02-25;13.669;16.780;35.215;1.559
2021-02-26;10.205;30.514;5.406;0.302
2021-02-27;7.881;1.693;0.213;0.053
2021-02-28;7.185;1.731;0.657;0.000
2021-03-01;3.436;0.022;0.050;0.000
2021-03-02;2.106;0.198;4.987;6.282
2021-03-03;2.402;1.679;4.519;2.800
2021-03-04;10.994;8.318;25.214;8.474
2021-03-05;11.558;34.923;29.768;0.026
2021-03-06;13.421;52.743;7.814;0.069
2021-03-07;9.113;17.469;1.968;0.048
2021-03-08;3.522;4.374;3.519;0.916
2021-03-09;2.161;3.667;1.944;0.038
2021-03-10;1.742;5.993;0.657;0.014
2021-03-11;3.464;2.388;2.146;0.021
2021-03-12;1.149;1.211;8.619;0.101
2021-03-13;2.080;6.953;7.084;0.143
2021-03-14;11.235;6.866;6.922;0.000
2021-03-15;3.152;8.305;6.459;0.000
2021-03-16;4.103;7.603;4.916;0.065
2021-03-17;5.687;9.398;1.254;0.010
2021-03-18;6.799;3.420;0.586;0.000
2021-03-19;3.057;1.574;0.033;0.000
2021-03-20;1.457;0.165;0.284;0.026
2021-03-21;0.116;0.238;0.043;0.021
2021-03-22;0.221;0.103;0.886;1.952
2021-03-23;0.140;0.347;0.367;0.015
2021-03-24;0.235;0.783;2.864;0.063
2021-03-25;0.109;0.464;0.140;0.000
2021-03-26;0.731;0.202;1.992;0.000
2021-03-27;0.319;1.545;3.601;0.141
2021-03-28;0.944;3.122;11.972;0.221
2021-03-29;0.266;10.555;2.965;0.175
2021-03-30;12.198;3.778;0.140;0.030
2021-03-31;1.973;0.061;0.054;0.016
2021-04-01;0.054;0.046;0.792;0.128
2021-04-02;0.020;0.433;0.100;0.072
2021-04-03;0.087;0.064;0.035;0.007
2021-04-04;0.047;0.081;5.746;0.062
2021-04-05;0.147;1.493;16.192;0.001
2021-04-06;22.233;0.806;0.018;0.000
2021-04-07;0.247;0.003;0.000;0.009
2021-04-08;0.063;0.000;0.032;0.000
2021-04-09;0.007;0.001;0.000;0.000
2021-04-10;0.000;0.000;0.002;0.315
2021-04-11;0.000;0.088;1.293;0.014
2021-04-12;0.071;1.007;0.097;0.064
2021-04-13;0.566;0.068;0.058;0.001
2021-04-14;0.139;0.001;0.086;0.000
2021-04-15;0.148;0.832;1.224;0.008
2021-04-16;1.094;3.454;10.046;0.099
2021-04-17;4.573;3.962;0.436;0.167
2021-04-18;10.522;0.962;1.295;0.074
2021-04-19;0.704;0.852;1.174;0.055
2021-04-20;0.908;1.499;1.252;0.066
2021-04-21;1.269;0.408;0.058;0.072
2021-04-22;1.552;0.025;0.079;0.092
2021-04-23;0.055;0.059;0.070;0.038
2021-04-24;0.182;0.072;0.271;0.212
2021-04-25;0.025;0.642;0.891;0.099
2021-04-26;0.002;1.625;0.153;0.062
2021-04-27;3.483;0.128;0.392;0.011
2021-04-28;0.082;0.591;0.017;0.002
2021-04-29;0.494;0.028;0.009;0.001
2021-04-30;0.058;0.000;0.007;0.051
2021-05-01;0.005;0.022;0.060;0.027
2021-05-02;0.018;0.055;0.012;0.000
2021-05-03;0.016;0.046;0.026;0.000
2021-05-04;0.005;0.000;0.042;0.325
2021-05-05;0.000;0.011;0.313;0.088
2021-05-06;0.000;0.524;0.452;0.171
2021-05-07;0.336;0.302;0.014;0.001
2021-05-08;0.180;0.091;0.009;0.027
2021-05-09;0.073;0.191;0.013;0.000
2021-05-10;0.258;0.066;0.128;6.442
2021-05-11;0.010;0.109;3.511;0.722
2021-05-12;0.032;5.053;0.068;0.001
2021-05-13;13.090;0.022;3.771;0.040
2021-05-14;0.194;6.195;1.769;0.083
2021-05-15;0.899;1.594;0.062;0.015
2021-05-16;0.354;0.100;0.566;0.148
2021-05-17;0.117;0.154;0.055;0.002
2021-05-18;0.673;0.086;0.000;0.000
2021-05-19;0.035;0.062;0.073;0.000
2021-05-20;0.000;0.045;0.000;0.646
2021-05-21;0.000;0.145;0.432;0.013
2021-05-22;0.009;1.559;0.295;0.000
2021-05-23;2.476;0.047;0.000;0.645
2021-05-24;0.029;0.000;0.118;0.081
2021-05-25;0.000;0.001;0.067;0.000
2021-05-26;0.000;4.158;0.000;0.000
2021-05-27;0.632;0.098;1.463;0.978
2021-05-28;0.093;0.158;5.187;32.886
2021-05-29;0.182;0.261;6.738;0.645
